Michigan Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1982,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,100-250
1983,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
1986,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1991,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1995,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1998,0,0-0,0,0-0,0,0-0,2,250-500,0,0-0,0,0-0,0,0-0,2,250-500
1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2001,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2002,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2003,1,250-500,0,0-0,0,0-0,3,100-250,0,0-0,0,0-0,0,0-0,4,250-500
2004,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2006,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2007,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
2008,0,0-0,1,250-500,0,0-0,2,250-500,0,0-0,0,0-0,0,0-0,3,500-1000
2009,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2011,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
2012,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000
2013,1,250-500,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,2,250-500
2014,0,0-0,1,1000-2000,0,0-0,1,250-500,0,0-0,0,0-0,1,5-100,3,1000-2000
2015,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,1,100-250,3,100-250
2016,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2017,0,0-0,0,0-0,0,0-0,2,500-1000,0,0-0,0,0-0,0,0-0,2,500-1000
2018,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
2019,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000
2020,0,0-0,0,0-0,0,0-0,3,250-500,0,0-0,0,0-0,0,0-0,3,250-500
2021,0,0-0,0,0-0,0,0-0,5,1000-2000,0,0-0,0,0-0,0,0-0,5,1000-2000
2022,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,1,100-250,3,250-500
2023,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
