Colorado Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1982,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1983,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
1984,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,1,1000-2000
1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1986,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1989,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
1990,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,1,100-250,0,0-0,2,2000-5000
1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1994,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,100-250,0,0-0,2,250-500
1995,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1996,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1998,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2000,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,2,500-1000
2001,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2002,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,2,500-1000
2003,1,250-500,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,250-500
2004,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,1,1000-2000
2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2006,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
2007,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2008,1,250-500,0,0-0,0,0-0,1,250-500,0,0-0,1,5-100,0,0-0,3,500-1000
2009,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,1,5-100,0,0-0,2,1000-2000
2010,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,1,500-1000
2011,1,250-500,0,0-0,0,0-0,1,500-1000,0,0-0,1,5-100,0,0-0,3,1000-2000
2012,1,250-500,0,0-0,0,0-0,1,1000-2000,0,0-0,1,500-1000,0,0-0,3,2000-5000
2013,1,500-1000,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,2000-5000
2014,1,5-100,0,0-0,0,0-0,2,2000-5000,0,0-0,0,0-0,0,0-0,3,2000-5000
2015,0,0-0,1,5-100,0,0-0,2,250-500,0,0-0,1,5-100,0,0-0,4,500-1000
2016,0,0-0,0,0-0,0,0-0,3,1000-2000,0,0-0,0,0-0,0,0-0,3,1000-2000
2017,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,1,2000-5000
2018,1,5-100,0,0-0,0,0-0,6,5000-10000,0,0-0,1,500-1000,0,0-0,8,5000-10000
2019,0,0-0,0,0-0,0,0-0,2,1000-2000,0,0-0,0,0-0,0,0-0,2,1000-2000
2020,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,2,1000-2000
2021,1,500-1000,0,0-0,0,0-0,2,250-500,0,0-0,1,2000-5000,1,100-250,5,2000-5000
2022,1,1000-2000,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,1,100-250,4,1000-2000
2023,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
