California Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1983,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000
1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1986,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,1,1000-2000
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1990,0,0-0,0,0-0,1,5000-10000,0,0-0,0,0-0,1,1000-2000,0,0-0,2,5000-10000
1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5000-10000,0,0-0,1,5000-10000
1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,1,2000-5000
1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,1,250-500
1995,0,0-0,1,5000-10000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5000-10000
1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1997,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000
1998,0,0-0,0,0-0,1,2000-5000,1,1000-2000,0,0-0,0,0-0,0,0-0,2,5000-10000
1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2000,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2002,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,2,250-500
2003,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5000-10000,0,0-0,1,5000-10000
2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2006,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,100-250
2007,1,100-250,0,0-0,1,2000-5000,0,0-0,0,0-0,1,2000-5000,0,0-0,3,2000-5000
2008,1,100-250,0,0-0,0,0-0,1,500-1000,0,0-0,1,500-1000,0,0-0,3,1000-2000
2009,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,2,500-1000
2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2011,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2012,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,2,250-500
2013,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
2014,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
2015,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,2,5000-10000
2016,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,2,2000-5000
2017,0,0-0,1,1000-2000,0,0-0,1,250-500,0,0-0,1,10000-20000,0,0-0,3,20000-50000
2018,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,20000-50000,0,0-0,2,20000-50000
2019,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,1,2000-5000
2020,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,1,10000-20000,0,0-0,2,10000-20000
2021,1,1000-2000,1,1000-2000,0,0-0,0,0-0,0,0-0,1,5000-10000,0,0-0,3,5000-10000
2022,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,2,2000-5000
2023,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000
